id,name
0,
1,мышца
2,печень
3,шкурка
4,мум шкура
5,зубы
6,сердце
7,"хвост, хря"
8,эмбрион
9,палец
10,1
11,сухая шкурка
12,шейный позвонок
13,культура к
14,кровь
