collector_id,collection_id
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
1,30
1,31
1,32
1,33
1,34
2,35
2,36
3,37
4,37
5,37
6,38
6,39
6,40
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
7,49
8,49
2,50
2,51
2,52
3,53
4,53
5,53
3,54
4,54
5,54
3,55
4,55
5,55
7,56
8,56
7,57
8,57
7,58
8,58
7,59
8,59
7,60
8,60
7,61
8,61
7,62
8,62
7,63
8,63
7,64
8,64
7,65
8,65
7,66
8,66
7,67
8,67
9,68
9,69
9,70
9,71
9,72
9,73
9,74
9,75
9,76
9,77
9,78
9,79
9,80
9,81
9,82
9,83
9,84
10,85
10,86
11,87
11,88
11,89
11,90
11,91
11,92
11,93
11,94
11,95
11,96
11,97
11,98
11,99
11,100
11,101
12,102
12,103
13,104
13,105
13,106
13,107
13,108
6,109
9,110
9,111
9,112
9,113
9,114
9,115
9,116
9,117
9,118
9,119
9,120
9,121
9,122
9,123
9,124
9,125
9,126
9,127
9,128
9,129
9,130
9,131
9,132
9,133
9,134
9,135
9,136
9,137
9,138
9,139
9,140
9,141
9,142
9,143
9,144
9,145
9,146
9,147
9,148
9,149
9,150
14,151
14,152
14,153
14,154
14,155
14,156
14,157
14,158
14,159
15,160
15,161
15,162
15,163
15,164
15,165
9,166
9,167
9,168
9,169
9,170
16,171
16,172
16,173
16,174
16,175
17,176
18,177
18,178
18,179
18,180
18,181
18,182
18,183
18,184
18,185
18,186
18,187
18,188
7,189
8,189
14,190
19,191
20,192
20,193
20,194
20,195
20,196
21,197
21,198
22,199
22,200
20,201
20,202
20,203
16,204
16,205
16,206
16,207
21,208
23,209
23,210
23,211
20,212
10,213
10,214
10,215
10,216
9,217
9,218
9,219
9,220
24,221
24,222
24,223
24,224
24,225
24,226
24,227
24,228
24,229
24,230
24,231
24,232
10,233
11,234
11,235
11,236
11,237
11,238
11,239
11,240
11,241
11,242
11,243
11,244
11,245
11,246
11,247
11,248
11,249
11,250
15,251
15,252
15,253
15,254
15,255
15,256
25,257
25,258
25,259
25,260
25,261
25,262
25,263
25,264
25,265
25,266
25,267
25,268
15,269
25,270
25,271
25,272
26,273
26,274
26,275
26,276
26,277
26,278
26,279
26,280
26,281
26,282
26,283
26,284
26,285
26,286
26,287
26,288
26,289
26,290
26,291
26,292
26,293
26,294
26,295
26,296
26,297
26,298
26,299
26,300
20,301
20,302
20,303
20,304
27,305
27,306
27,307
15,308
15,309
15,310
15,311
15,312
15,313
15,314
15,315
15,316
15,317
15,318
28,319
28,320
20,321
15,322
15,323
15,324
15,325
15,326
15,327
15,328
15,329
15,330
26,331
26,332
26,333
26,334
26,335
26,336
26,337
26,338
26,339
26,340
26,341
26,342
9,343
9,344
26,345
26,346
26,347
26,348
26,349
26,350
26,351
29,352
26,353
26,354
26,355
26,356
26,357
9,358
11,359
11,360
11,361
11,362
11,363
11,364
11,365
11,366
11,367
11,368
15,369
15,370
15,371
15,372
15,373
15,374
15,375
15,376
15,377
15,378
15,379
15,380
30,381
30,382
30,383
30,384
30,385
30,386
30,387
30,388
30,389
30,390
23,391
23,392
15,393
15,394
15,395
31,396
32,397
31,398
31,399
33,400
33,401
33,402
33,403
33,404
33,405
34,406
34,407
34,408
34,409
35,410
35,411
33,412
33,413
33,414
33,415
33,416
28,417
28,418
28,419
28,420
28,421
28,422
28,423
33,424
33,425
33,426
33,427
33,428
33,429
33,430
33,431
33,432
33,433
26,434
26,435
26,436
26,437
26,438
26,439
26,440
26,441
26,442
3,443
3,444
3,445
36,446
36,447
36,448
36,449
36,450
36,451
36,452
37,453
37,454
20,455
20,456
20,457
20,458
20,459
14,460
14,461
14,462
14,463
38,464
38,465
38,466
38,467
38,468
38,469
38,470
38,471
38,472
38,473
34,474
34,475
34,476
7,477
39,477
7,478
7,479
26,480
40,481
40,482
40,483
40,484
40,485
7,486
7,487
7,488
7,489
7,490
7,491
7,492
7,493
7,494
7,495
8,495
7,496
8,496
41,497
42,497
2,498
2,499
2,500
2,501
2,502
2,503
11,504
11,505
11,506
11,507
11,508
11,509
11,510
11,511
11,512
11,513
11,514
11,515
11,516
11,517
11,518
11,519
11,520
11,521
11,522
11,523
11,524
11,525
11,526
11,527
11,528
11,529
11,530
11,531
26,532
26,533
26,534
26,535
26,536
26,537
26,538
26,539
26,540
26,541
11,542
11,543
26,544
26,545
43,546
43,547
43,548
43,549
43,550
43,551
44,552
44,553
11,554
11,555
2,556
2,557
37,558
37,559
37,560
37,561
37,562
45,563
11,564
46,565
7,566
7,567
7,568
46,569
46,570
46,571
14,572
14,573
14,574
14,575
14,576
26,577
26,578
26,579
26,580
26,581
26,582
14,583
14,584
2,585
2,586
2,587
2,588
2,589
2,590
2,591
2,592
2,593
41,594
42,594
41,595
42,595
41,596
42,596
47,597
47,598
47,599
47,600
47,601
47,602
47,603
47,604
47,605
47,606
47,607
47,608
47,609
47,610
47,611
47,612
48,613
48,614
48,615
48,616
48,617
48,618
48,619
48,620
48,621
48,622
48,623
48,624
48,625
48,626
48,627
48,628
48,629
48,630
48,631
48,632
48,633
49,634
50,635
51,636
50,637
51,638
49,639
52,640
52,641
36,642
36,643
53,644
33,645
33,646
33,647
14,648
14,649
14,650
14,651
14,652
20,653
20,654
20,655
20,656
20,657
20,658
24,659
23,660
23,661
23,662
23,663
23,664
16,665
54,666
54,667
54,668
54,669
54,670
17,671
54,672
15,673
15,674
15,675
15,676
15,677
23,678
15,679
32,680
32,681
53,682
37,683
37,684
37,685
37,686
37,687
37,688
37,689
37,690
37,691
55,692
55,693
37,694
11,695
11,696
11,697
11,698
11,699
28,700
28,701
28,702
56,703
53,704
57,705
33,706
33,707
33,708
33,709
15,710
3,712
3,713
3,714
3,715
3,716
3,717
3,718
3,719
3,720
3,721
3,722
58,723
58,726
58,727
19,737
19,738
19,739
19,740
15,741
58,742
58,743
58,744
15,745
15,746
15,747
15,748
15,749
15,750
15,751
15,752
15,753
15,754
15,755
15,756
15,757
15,758
15,759
15,760
15,761
15,762
15,763
15,764
15,765
15,766
15,767
15,768
15,769
15,770
15,771
15,772
15,773
15,774
15,775
15,776
15,777
15,778
15,779
15,780
15,781
15,782
15,783
15,784
15,785
15,786
15,787
15,788
15,789
15,790
15,791
15,792
15,793
15,794
15,795
15,796
15,797
15,798
15,799
15,800
15,801
15,802
15,803
15,804
15,805
15,806
15,807
15,808
15,809
15,810
15,811
15,812
15,813
15,814
15,815
15,816
15,817
15,818
15,819
15,820
15,821
15,822
15,823
15,824
15,825
15,826
15,827
15,828
15,829
15,830
15,831
15,832
15,833
15,834
33,835
33,836
33,837
33,838
33,839
33,840
33,841
33,842
47,844
47,845
11,864
11,865
11,866
11,867
11,868
11,869
11,870
11,871
11,872
11,873
11,874
11,875
11,876
11,877
11,878
11,879
11,880
11,881
11,882
11,883
11,884
11,885
11,886
11,887
11,888
11,889
11,890
11,891
11,892
11,893
11,894
11,895
11,896
11,897
11,898
11,899
11,900
11,901
11,902
11,903
11,904
11,905
11,906
11,907
11,908
11,909
11,910
11,911
11,912
11,913
11,914
11,915
11,916
11,917
11,918
11,919
11,920
11,921
11,922
59,923
11,924
59,925
59,926
59,927
59,928
59,929
59,930
59,931
11,932
11,933
11,934
11,935
11,936
11,937
11,938
11,939
11,940
11,941
11,942
11,943
15,944
59,945
59,946
59,947
59,948
59,949
59,950
59,951
59,952
59,953
11,954
11,956
11,957
11,958
11,959
11,960
11,961
11,962
11,963
11,964
11,965
11,966
11,967
11,968
11,969
11,970
11,971
11,972
11,973
11,974
11,975
60,976
60,977
60,978
61,979
61,980
61,981
61,982
61,983
61,984
61,985
61,986
61,987
61,988
61,989
61,990
61,991
61,992
36,993
36,994
36,995
36,996
36,997
36,998
36,999
36,1000
36,1001
36,1002
36,1003
36,1004
36,1005
36,1006
36,1007
36,1008
36,1009
36,1010
36,1011
36,1012
36,1013
36,1014
36,1015
36,1016
36,1017
36,1018
36,1019
36,1020
62,1021
62,1022
62,1023
9,1025
9,1026
16,1027
14,1031
14,1032
14,1033
14,1034
14,1035
14,1036
14,1037
14,1038
63,1039
63,1040
3,1041
15,1042
50,1043
50,1044
50,1045
62,1046
62,1047
62,1048
7,1049
7,1050
7,1051
8,1052
8,1053
8,1054
8,1055
8,1056
8,1057
8,1058
7,1059
7,1060
7,1061
7,1062
7,1063
8,1063
7,1064
8,1064
7,1065
8,1065
7,1066
8,1066
7,1067
7,1068
8,1068
7,1069
8,1069
7,1070
7,1071
8,1071
7,1072
8,1072
7,1073
8,1073
7,1074
8,1074
7,1075
8,1075
7,1076
8,1076
7,1077
7,1078
8,1078
7,1079
7,1080
7,1081
7,1082
7,1083
7,1084
7,1085
7,1086
3,1087
3,1088
3,1089
3,1090
64,1091
64,1092
64,1093
64,1094
65,1095
66,1096
66,1097
67,1098
49,1099
11,1100
11,1101
11,1102
11,1103
11,1104
11,1105
11,1106
11,1107
11,1108
11,1109
11,1110
68,1111
69,1112
69,1113
69,1114
39,1115
66,1116
66,1117
66,1118
66,1119
66,1120
36,1121
36,1122
69,1123
36,1124
36,1125
36,1126
36,1127
70,1128
70,1129
61,1130
71,1131
71,1132
71,1133
71,1134
71,1135
36,1136
36,1137
36,1138
36,1139
36,1140
36,1141
36,1142
36,1143
36,1144
36,1145
36,1146
36,1147
36,1148
36,1149
36,1150
62,1151
62,1152
33,1153
33,1154
33,1155
33,1156
33,1157
33,1158
33,1159
33,1160
33,1161
33,1162
33,1163
33,1164
33,1165
33,1166
33,1167
33,1168
33,1169
33,1170
33,1171
33,1172
33,1173
33,1174
33,1175
33,1176
33,1177
33,1178
33,1179
33,1180
33,1181
33,1182
33,1183
33,1184
33,1185
33,1186
33,1187
33,1188
33,1189
33,1190
33,1191
33,1192
33,1193
47,1194
47,1195
47,1196
33,1197
33,1198
33,1199
33,1200
33,1201
47,1202
47,1203
33,1204
47,1205
47,1206
39,1207
39,1208
39,1209
39,1210
39,1211
39,1212
39,1213
39,1214
39,1215
39,1216
39,1217
39,1218
39,1219
39,1220
39,1221
60,1222
60,1223
60,1224
60,1225
60,1226
60,1227
60,1228
60,1229
60,1230
60,1231
60,1232
60,1233
60,1234
60,1235
60,1236
60,1237
60,1238
60,1239
60,1240
60,1241
60,1242
60,1243
60,1244
60,1245
60,1246
60,1247
62,1248
62,1249
62,1250
62,1251
62,1252
62,1253
62,1254
62,1255
62,1256
62,1257
62,1258
62,1259
70,1260
70,1261
72,1263
72,1265
72,1266
72,1267
72,1269
72,1270
72,1272
73,1273
74,1273
73,1274
74,1274
46,1275
75,1276
46,1276
46,1277
46,1278
46,1279
46,1280
46,1281
46,1282
46,1283
46,1284
46,1285
46,1286
46,1287
46,1288
46,1289
46,1290
75,1291
46,1291
46,1292
75,1293
46,1293
46,1294
75,1295
46,1295
46,1296
46,1297
46,1298
46,1299
46,1300
46,1301
46,1302
46,1303
46,1304
46,1305
75,1306
46,1306
46,1307
46,1308
46,1309
75,1310
46,1310
46,1311
46,1312
46,1313
62,1314
62,1315
62,1316
62,1317
62,1318
62,1319
62,1320
62,1321
62,1322
62,1323
62,1324
62,1325
62,1326
62,1327
62,1328
62,1329
62,1330
62,1331
62,1332
62,1333
60,1334
60,1335
60,1336
60,1337
60,1338
60,1339
60,1340
76,1341
76,1342
76,1343
76,1344
76,1345
76,1346
76,1347
13,1348
13,1349
33,1353
33,1354
33,1355
14,1356
14,1357
14,1358
62,1359
72,1360
77,1361
73,1363
74,1363
60,1364
60,1365
60,1366
60,1367
11,1368
11,1369
11,1370
11,1371
11,1372
11,1373
11,1374
11,1375
11,1376
11,1377
11,1378
11,1379
11,1380
11,1381
11,1382
11,1383
11,1384
11,1385
11,1386
11,1387
11,1388
11,1389
11,1390
11,1391
11,1392
11,1393
11,1394
11,1395
11,1396
11,1397
11,1398
11,1399
11,1400
11,1401
11,1402
11,1403
11,1404
11,1405
11,1406
11,1407
11,1408
11,1409
11,1410
11,1411
11,1412
11,1413
11,1414
11,1415
11,1416
11,1417
11,1418
11,1419
11,1420
11,1421
11,1422
78,1423
71,1423
79,1423
78,1424
71,1424
79,1424
78,1425
71,1425
79,1425
78,1426
71,1426
79,1426
78,1427
71,1427
79,1427
78,1428
71,1428
79,1428
78,1429
71,1429
79,1429
78,1430
71,1430
79,1430
78,1431
71,1431
79,1431
78,1432
71,1432
79,1432
78,1433
71,1433
79,1433
78,1434
71,1434
79,1434
78,1435
71,1435
79,1435
78,1436
71,1436
79,1436
78,1437
71,1437
79,1437
78,1438
71,1438
79,1438
78,1439
71,1439
79,1439
78,1440
71,1440
79,1440
78,1441
71,1441
79,1441
78,1442
71,1442
79,1442
78,1443
71,1443
79,1443
78,1444
71,1444
79,1444
78,1445
71,1445
79,1445
78,1446
71,1446
79,1446
78,1447
71,1447
79,1447
78,1448
71,1448
79,1448
